,Sentence,Target
0,Hi,3
1,How are you?,3
2,"Hey there, how have you been?",3
3,Is anyone there?,3
4,Hello,3
5,Good day,3
6,Bye,2
7,See you there,2
8,Goodbye,2
9,Thanks,8
10,Thank you,8
11,That's helpful,8
12,about you,0
13,Who are you?,0
14,What are you?,0
15,Who you are?,0
16,what is your name,5
17,what should I call you,5
18,whats your name?,5
19,Could you help me?,4
20,give me a hand please,4
21,Can you help?,4
22,What can you do for me?,4
23,I need a support,4
24,I need a help,4
25,support me please,4
26,Complete the work,6
27,My name,6
28,user name,6
29,you are not Good,6
30,Nothing,6
31,fuck you,6
32,You are Bad,6
33,Noting to worry,6
34,Chatgpt is Best,6
35,Irrelevant,6
36,Can you help me find my prakriti,7
37,what is my prakriti?,7
38,figure out my prakriti,7
39,identify my prakriti,7
40,Who are the creators,1
41,who made these project,1
42,Project Creators,1
43,project is made by,1
44,Project,1
45,Which project,1
